n,m,p,IPE_Setup,IPE_ENCODE_X,IPE_ENCODE_Y,IPE_Encrypt,IPE_Keygen,IPE_Decrypt
8,10,2,0.003913353379999999,2.997075e-05,1.666455e-05,0.03333408997,0.01617669407,
8,10,4,0.0311852605,5.1891840000000006e-05,2.9360370000000002e-05,0.06799934912,0.03319622031,
8,10,6,0.11215259076,7.687784000000001e-05,4.242277e-05,0.10451696427000001,0.05117349762999999,
8,10,8,0.27012331080000007,9.310222000000002e-05,5.482422e-05,0.13818302505,0.06868202998,
8,10,10,0.54822311177,0.00011862812999999999,6.659347e-05,0.17505506638,0.08652882278000001,
16,10,2,0.012653390850000001,4.8337240000000005e-05,2.8531119999999997e-05,0.05140327275,0.02483149096,
16,10,4,0.17650104213999998,8.811063000000001e-05,5.1411219999999995e-05,0.12012340538999998,0.059570322110000004,
16,10,6,0.7435994866399999,0.00012344730999999998,7.711469e-05,0.19045160625000002,0.09505530300999998,
16,10,8,2.0368308712000003,0.00015893306,0.00010201460999999999,0.26368439478,0.13355917662000003,
16,10,10,4.24823803524,0.00019744487,0.00012611868,0.33838311736000004,0.17311503512999996,
32,10,2,0.06265536202,7.994026e-05,4.995181e-05,0.08546875111999999,0.04189983520000001,
32,10,4,1.3028262574800002,0.00015488367,0.00010043753000000001,0.22795716181,0.11421803217000001,
32,10,6,5.939482895100001,0.00022205213999999996,0.00015866179,0.3777924569700001,0.19428326223000003,
32,10,8,15.915284686399998,0.00028352684,0.00019494545000000002,0.5347678201,0.28071458705999996,
32,10,10,33.79523287386,0.00034218863000000003,0.00024275824999999999,0.6962050923899998,0.37623945263999997,
64,10,2,0.3959237101000001,0.00014655931,9.435117e-05,0.15581937654999997,0.07689146406,
64,10,4,10.17769602405,0.00027538942,0.00019503306,0.45505689759000006,0.23739060638999998,
64,10,6,47.32709203161,0.00040162849000000006,0.00029243414000000004,0.7874688392100001,0.4295049128099999,
64,10,8,128.68267785547997,0.00051525968,0.00038175041999999993,1.1438125129999999,0.64901070229,
64,10,10,277.02722177356,0.00065083119,0.0004993262,1.54487340798,0.91092012476,
128,10,2,3.02993233957,0.00026379981,0.00018393296,0.30229310914,0.15316777786999997,
128,10,4,81.84640733266001,0.00052170888,0.00037693926999999997,0.9709072644,0.54029299581,
128,10,6,379.88162365837997,0.0007584083100000001,0.0005716868099999999,1.7475337493999998,1.0478620797699998,
128,10,8,1058.6675857935,0.00101475166,0.0007803586099999998,2.69704609204,1.7207555363799998,
128,10,10,0.0,0.0011368153500000001,0.00089236084,3.8155939673899995,2.5837480805800004,0.0
