n,m,p,IPE_Setup,IPE_ENCODE_X,IPE_ENCODE_Y,IPE_Encrypt,IPE_Keygen,IPE_Decrypt
16,4,6,0.02412318881,7.38754e-06,3.86858e-06,0.00245450513,0.00182402301,0.0274401863
16,8,6,0.023529674679999998,7.79348e-06,4.10369e-06,0.0024586414100000002,0.0018377205100000003,0.17115152983999998
16,12,6,0.023398042850000005,7.2969599999999995e-06,3.8559799999999995e-06,0.0024412367799999998,0.0016703783299999997,0.48626509277
16,16,6,0.02335400968,7.848450000000001e-06,3.84677e-06,0.0025383917499999997,0.0017149869700000004,1.3125041153399999
16,20,6,0.023520289719999997,8.24474e-06,3.91669e-06,0.0025293263600000004,0.00223066453,2.18177811625
