n,m,p,IPE_Setup,IPE_ENCODE_X,IPE_ENCODE_Y,IPE_Encrypt,IPE_Keygen,IPE_Decrypt
8,10,2,0.00028285704,2.4641000000000003e-06,1.1942899999999999e-06,0.00053353777,0.00041600544999999994,0.00393638786
8,10,4,0.0013004146199999999,3.3241899999999996e-06,1.7050000000000002e-06,0.00101447034,0.00066660909,0.02595142828
8,10,6,0.00407879075,4.4011399999999995e-06,2.15789e-06,0.0014335257500000002,0.0009465262100000001,0.20903082766999997
8,10,8,0.009124536459999999,5.165379999999998e-06,2.5624799999999995e-06,0.0019941545300000006,0.0013642931799999996,1.9431150057
8,10,10,0.01755115866,6.2839900000000005e-06,3.07786e-06,0.0023860301899999996,0.0016350452199999999,21.99710539548
16,10,2,0.0007050497500000002,3.3389699999999997e-06,1.8270899999999998e-06,0.00068948368,0.0004971366100000001,0.005513535340000001
16,10,4,0.00622755596,5.17778e-06,2.6882899999999995e-06,0.0015487469399999999,0.00103398572,0.033294641050000004
16,10,6,0.023238036519999995,7.052429999999998e-06,3.8000800000000006e-06,0.0024838157399999995,0.00171743486,0.2737545133
16,10,8,0.057678093050000004,9.14144e-06,4.86309e-06,0.0033337905499999996,0.00225551222,3.0053176101200005
16,10,10,0.11672705653,1.186903e-05,6.53664e-06,0.00421843517,0.0031076877700000004,28.65629515968
32,10,2,0.002792151239999999,5.570579999999999e-06,3.1462999999999994e-06,0.00105735317,0.00076572449,0.0071317234200000005
32,10,4,0.03810330569,8.937240000000001e-06,4.91969e-06,0.00272853067,0.00212320277,0.051046130329999995
32,10,6,0.15715205024,1.284835e-05,7.452469999999999e-06,0.00451480704,0.003527521200000001,0.42219173274999994
32,10,8,0.40900673708,1.6218740000000004e-05,9.52304e-06,0.00659146698,0.005630986870000001,3.93454100667
32,10,10,0.8471027176399999,1.9811200000000004e-05,1.2245779999999997e-05,0.009378047569999999,0.00821597258,44.462613703790005
64,10,2,0.01343161742,8.240719999999999e-06,5.154279999999999e-06,0.0019633502099999996,0.0013461917699999998,0.011181701460000002
64,10,4,0.26282062696,1.7517699999999997e-05,9.962450000000001e-06,0.005465641870000001,0.0043857406,0.06770863243000001
64,10,6,1.1541301721100001,2.3358790000000007e-05,1.3811249999999998e-05,0.010756214389999998,0.00924500854,0.5551110543100001
64,10,8,3.1693995042599994,3.21596e-05,1.913679e-05,0.017210232699999998,0.015216305259999998,6.066458086370001
64,10,10,6.6549265782500004,4.532310999999999e-05,2.5630429999999996e-05,0.024767601990000006,0.02180422832,57.32640310012
128,10,2,0.08433345931,1.5691390000000003e-05,1.0748339999999998e-05,0.0036269620700000007,0.0027473226500000004,0.01582100587
128,10,4,1.9964129548000003,3.0578529999999994e-05,2.010348e-05,0.01384179317,0.0120547359,0.10571014025999997
128,10,6,9.10204007006,5.468714000000001e-05,2.7282929999999998e-05,0.02876809704,0.025758406890000002,0.8561863291499999
128,10,8,24.56875752525,6.186713999999999e-05,4.9999899999999995e-05,0.057303830109999995,0.05147756443,7.930502876759999
128,10,10,51.73691270863,9.538765999999999e-05,7.822537e-05,0.10043974966999998,0.08446001882,89.07659441359998
